# Altitude (km), Pressure(atm), Temperature(K), [VMRs:] H2O, CO, SO2, HF, HCL, OCS, H2S, He
1.00000e+02 2.63000e-05 1.70000e+02 3.00000e-06 9.63000e-01 1.00000e-03 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.90000e+01 3.51000e-05 1.71500e+02 3.00000e-06 9.63000e-01 9.60000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.80000e+01 4.39000e-05 1.73000e+02 3.00000e-06 9.63000e-01 9.20000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.70000e+01 5.70000e-05 1.82830e+02 3.00000e-06 9.63000e-01 8.80000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.60000e+01 7.01000e-05 1.92661e+02 3.00000e-06 9.63000e-01 8.40000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.50000e+01 8.95000e-05 1.90482e+02 3.00000e-06 9.64000e-01 8.00000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.40000e+01 1.14730e-04 1.88125e+02 3.00000e-06 9.64000e-01 7.60000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.30000e+01 1.47280e-04 1.86379e+02 3.00000e-06 9.64000e-01 7.21000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.20000e+01 1.89160e-04 1.85297e+02 3.00000e-06 9.64000e-01 6.81000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.10000e+01 2.43100e-04 1.84165e+02 3.00000e-06 9.64000e-01 6.41000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
9.00000e+01 3.12670e-04 1.83256e+02 3.00000e-06 9.64000e-01 6.01000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.90000e+01 4.02670e-04 1.82298e+02 3.00000e-06 9.64000e-01 5.61000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.80000e+01 5.22980e-04 1.75360e+02 3.00000e-06 9.64000e-01 5.21000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.70000e+01 6.84530e-04 1.70639e+02 3.00000e-06 9.64000e-01 4.81000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.60000e+01 8.95120e-04 1.74547e+02 3.00000e-06 9.64000e-01 4.41000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.50000e+01 1.16230e-03 1.81403e+02 3.00000e-06 9.65000e-01 4.01000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.40000e+01 1.49500e-03 1.88355e+02 3.00000e-06 9.65000e-01 3.61000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.30000e+01 1.90850e-03 1.93991e+02 3.00000e-06 9.65000e-01 3.21000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.20000e+01 2.42560e-03 1.96711e+02 3.00000e-06 9.65000e-01 2.81000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.10000e+01 3.07260e-03 1.97954e+02 3.00000e-06 9.65000e-01 2.42000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
8.00000e+01 3.87870e-03 1.99112e+02 3.00000e-06 9.65000e-01 2.02000e-04 3.00000e-08 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
