# a posteriori error on the Rr - vRr, 15 columns indicate eta_r= 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, and 2.5.
0.058	0.032	0.020	0.180	0.164	0.151	0.169	0.282	0.306	0.296	0.259	0.260	0.247	0.303	0.161
0.056	0.032	0.238	0.184	0.169	0.160	0.176	0.306	0.325	0.306	0.282	0.267	0.264	0.314	0.168
0.061	0.035	0.230	0.173	0.173	0.165	0.212	0.362	0.326	0.320	0.296	0.284	0.283	0.336	0.314
0.062	0.370	0.247	0.189	0.174	0.166	0.234	0.383	0.333	0.333	0.303	0.289	0.305	0.294	0.319
1.148	0.472	0.262	0.190	0.182	0.175	0.341	0.451	0.371	0.385	0.349	0.321	0.334	0.387	0.332
1.119	0.427	0.259	0.177	0.183	0.192	0.424	0.485	0.344	0.386	0.389	0.360	0.374	0.377	0.365
2.013	0.502	0.261	0.204	0.189	0.191	0.446	0.542	0.422	0.406	0.392	0.350	0.382	0.418	0.365
2.133	0.451	0.241	0.198	0.189	0.189	0.458	0.598	0.439	0.438	0.413	0.383	0.409	0.412	0.387
2.330	0.428	0.297	0.211	0.192	0.198	0.489	0.756	2.337	0.454	0.427	0.416	0.402	0.418	0.396
0.632	0.487	0.238	0.165	0.195	0.210	0.521	0.981	2.538	0.484	0.437	0.426	0.458	0.460	0.419
