# Retrieved mean particle radius - Rr, 15 columns indicate eta_r= 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, and 2.5.
0.170	0.110	0.090	0.060	0.620	0.660	0.650	0.730	0.820	0.690	0.730	0.770	0.760	0.860	0.450
0.180	0.120	0.080	0.720	0.670	0.660	0.700	0.780	0.860	0.770	0.770	0.820	0.830	0.930	0.540
0.200	0.170	0.870	0.720	0.680	0.700	0.800	0.850	0.900	1.050	0.840	0.880	0.920	0.990	0.860
0.210	1.260	0.890	0.740	0.690	0.740	0.810	0.940	0.990	1.070	0.920	0.910	1.020	0.990	1.000
3.010	1.310	0.930	0.770	0.720	0.760	0.860	1.130	1.010	1.120	0.990	0.970	1.110	1.100	1.000
3.170	1.350	0.960	0.780	0.730	0.780	0.960	1.290	1.010	1.160	1.060	0.980	1.160	1.160	1.030
3.320	1.430	0.910	0.750	0.750	0.800	1.140	1.340	1.090	1.230	1.070	1.080	1.190	1.150	1.080
3.420	1.400	0.770	0.810	0.770	0.770	1.190	1.450	1.160	1.250	1.130	1.120	1.220	1.210	1.110
3.750	1.350	0.990	0.830	0.790	0.840	1.260	1.590	1.240	1.330	1.210	1.180	1.210	1.250	1.170
12.600	2.690	2.490	0.840	0.810	0.870	1.300	1.750	2.960	1.360	1.250	1.190	1.300	1.310	1.250
